ip_address,school_name,hostname,phase2_match,asn,whois_org,is_hosting,whois_match,fcc_match,score,confidence
65.254.5.67,Harding Avenue Elementary School,fw-out.syosset.k12.ny.us,partial_match,46887,"CROWNCASTLE-AS46887 - Crown Castle Fiber LLC, US",no,no,no,1,low
65.254.5.66,Harding Avenue Elementary School,www.syosset.k12.ny.us,partial_match,46887,"CROWNCASTLE-AS46887 - Crown Castle Fiber LLC, US",no,no,no,1,low
65.254.5.65,Harding Avenue Elementary School,sygw2.syosset.k12.ny.us,partial_match,46887,"CROWNCASTLE-AS46887 - Crown Castle Fiber LLC, US",no,no,no,1,low
65.254.5.68,Harding Avenue Elementary School,fw.syosset.k12.ny.us,partial_match,46887,"CROWNCASTLE-AS46887 - Crown Castle Fiber LLC, US",no,no,no,1,low
65.254.5.71,Harding Avenue Elementary School,mailout.syosset.k12.ny.us,partial_match,46887,"CROWNCASTLE-AS46887 - Crown Castle Fiber LLC, US",no,no,no,1,low
65.254.5.72,Harding Avenue Elementary School,mail.syosset.k12.ny.us,partial_match,46887,"CROWNCASTLE-AS46887 - Crown Castle Fiber LLC, US",no,no,no,1,low
65.254.5.73,Harding Avenue Elementary School,exchhub.syosset.k12.ny.us,partial_match,46887,"CROWNCASTLE-AS46887 - Crown Castle Fiber LLC, US",no,no,no,1,low
65.254.5.76,Harding Avenue Elementary School,igpro.syosset.k12.ny.us,partial_match,46887,"CROWNCASTLE-AS46887 - Crown Castle Fiber LLC, US",no,no,no,1,low
65.254.5.101,Harding Avenue Elementary School,ic.syosset.k12.ny.us,partial_match,46887,"CROWNCASTLE-AS46887 - Crown Castle Fiber LLC, US",no,no,no,1,low
170.24.142.8,Hicksville High School,barracuda.msd.k12.ny.us,partial_match,,,no,yes,yes,3,high
65.254.5.1,Hicksville High School,gw.bayshore.k12.ny.us,partial_match,46887,"CROWNCASTLE-AS46887 - Crown Castle Fiber LLC, US",no,no,no,1,low
65.254.5.7,Hicksville High School,bayshore.k12.ny.us,partial_match,46887,"CROWNCASTLE-AS46887 - Crown Castle Fiber LLC, US",no,no,no,1,low
65.254.5.15,Hicksville High School,eportfolio.bayshore.k12.ny.us,partial_match,46887,"CROWNCASTLE-AS46887 - Crown Castle Fiber LLC, US",no,no,no,1,low
65.254.5.19,Hicksville High School,tel.bayshore.k12.ny.us,partial_match,46887,"CROWNCASTLE-AS46887 - Crown Castle Fiber LLC, US",no,no,no,1,low
65.254.5.23,Hicksville High School,mailgw.bayshore.k12.ny.us,partial_match,46887,"CROWNCASTLE-AS46887 - Crown Castle Fiber LLC, US",no,no,no,1,low
65.254.5.26,Hicksville High School,kevin-s-nj.bayshore.k12.ny.us,partial_match,46887,"CROWNCASTLE-AS46887 - Crown Castle Fiber LLC, US",no,no,no,1,low
65.254.5.5,Hicksville High School,bsfw2-1605.bayshore.k12.ny.us,partial_match,46887,"CROWNCASTLE-AS46887 - Crown Castle Fiber LLC, US",no,no,no,1,low
65.254.5.2,Hicksville High School,bsraptor1.bvr.bayshore.k12.ny.us,partial_match,46887,"CROWNCASTLE-AS46887 - Crown Castle Fiber LLC, US",no,no,no,1,low
65.254.5.4,Hicksville High School,1600-out.bayshore.k12.ny.us,partial_match,46887,"CROWNCASTLE-AS46887 - Crown Castle Fiber LLC, US",no,no,no,1,low
65.254.5.8,Hicksville High School,www2.bayshore.k12.ny.us,partial_match,46887,"CROWNCASTLE-AS46887 - Crown Castle Fiber LLC, US",no,no,no,1,low
65.254.5.3,Hicksville High School,bs3640.bayshore.k12.ny.us,partial_match,46887,"CROWNCASTLE-AS46887 - Crown Castle Fiber LLC, US",no,no,no,1,low
65.254.5.9,Hicksville High School,mail1.bayshore.k12.ny.us,partial_match,46887,"CROWNCASTLE-AS46887 - Crown Castle Fiber LLC, US",no,no,no,1,low
65.254.5.10,Hicksville High School,mail2.bayshore.k12.ny.us,partial_match,46887,"CROWNCASTLE-AS46887 - Crown Castle Fiber LLC, US",no,no,no,1,low
65.254.5.6,Hicksville High School,bssdfilter.bayshore.k12.ny.us,partial_match,46887,"CROWNCASTLE-AS46887 - Crown Castle Fiber LLC, US",no,no,no,1,low
65.254.5.13,Hicksville High School,finance01.bayshore.k12.ny.us,partial_match,46887,"CROWNCASTLE-AS46887 - Crown Castle Fiber LLC, US",no,no,no,1,low
65.254.5.17,Hicksville High School,bay-remote.msmain.bayshore.k12.ny.us,partial_match,46887,"CROWNCASTLE-AS46887 - Crown Castle Fiber LLC, US",no,no,no,1,low
65.254.5.18,Hicksville High School,bay-ms-ts01.msmain.bayshore.k12.ny.us,partial_match,46887,"CROWNCASTLE-AS46887 - Crown Castle Fiber LLC, US",no,no,no,1,low
65.254.5.12,Hicksville High School,raptor.bayshore.k12.ny.us,partial_match,46887,"CROWNCASTLE-AS46887 - Crown Castle Fiber LLC, US",no,no,no,1,low
65.254.5.22,Hicksville High School,mailfilter.bayshore.k12.ny.us,partial_match,46887,"CROWNCASTLE-AS46887 - Crown Castle Fiber LLC, US",no,no,no,1,low
65.254.5.14,Hicksville High School,mis.bayshore.k12.ny.us,partial_match,46887,"CROWNCASTLE-AS46887 - Crown Castle Fiber LLC, US",no,no,no,1,low
65.254.5.16,Hicksville High School,bay-ms-ts02.msmain.bayshore.k12.ny.us,partial_match,46887,"CROWNCASTLE-AS46887 - Crown Castle Fiber LLC, US",no,no,no,1,low
65.254.5.24,Hicksville High School,ftpwww.bayshore.k12.ny.us,partial_match,46887,"CROWNCASTLE-AS46887 - Crown Castle Fiber LLC, US",no,no,no,1,low
65.254.5.21,Hicksville High School,s.bayshore.k12.ny.us,partial_match,46887,"CROWNCASTLE-AS46887 - Crown Castle Fiber LLC, US",no,no,no,1,low
65.254.5.11,Hicksville High School,mail.bayshore.k12.ny.us,partial_match,46887,"CROWNCASTLE-AS46887 - Crown Castle Fiber LLC, US",no,no,no,1,low
65.254.5.20,Hicksville High School,c.bayshore.k12.ny.us,partial_match,46887,"CROWNCASTLE-AS46887 - Crown Castle Fiber LLC, US",no,no,no,1,low
65.254.5.33,Hicksville High School,icampus.bayshore.k12.ny.us,partial_match,46887,"CROWNCASTLE-AS46887 - Crown Castle Fiber LLC, US",no,no,no,1,low
65.254.5.41,Hicksville High School,traveler.bayshore.k12.ny.us,partial_match,46887,"CROWNCASTLE-AS46887 - Crown Castle Fiber LLC, US",no,no,no,1,low
65.254.5.66,Hicksville High School,www.syosset.k12.ny.us,partial_match,46887,"CROWNCASTLE-AS46887 - Crown Castle Fiber LLC, US",no,no,no,1,low
65.254.5.71,Hicksville High School,mailout.syosset.k12.ny.us,partial_match,46887,"CROWNCASTLE-AS46887 - Crown Castle Fiber LLC, US",no,no,no,1,low
65.254.5.47,Hicksville High School,sm3.bayshore.k12.ny.us,partial_match,46887,"CROWNCASTLE-AS46887 - Crown Castle Fiber LLC, US",no,no,no,1,low
65.254.5.68,Hicksville High School,fw.syosset.k12.ny.us,partial_match,46887,"CROWNCASTLE-AS46887 - Crown Castle Fiber LLC, US",no,no,no,1,low
65.254.5.67,Hicksville High School,fw-out.syosset.k12.ny.us,partial_match,46887,"CROWNCASTLE-AS46887 - Crown Castle Fiber LLC, US",no,no,no,1,low
65.254.5.65,Hicksville High School,sygw2.syosset.k12.ny.us,partial_match,46887,"CROWNCASTLE-AS46887 - Crown Castle Fiber LLC, US",no,no,no,1,low
65.254.5.69,Hicksville High School,mailgw.syosset.k12.ny.us,partial_match,46887,"CROWNCASTLE-AS46887 - Crown Castle Fiber LLC, US",no,no,no,1,low
65.254.5.76,Hicksville High School,igpro.syosset.k12.ny.us,partial_match,46887,"CROWNCASTLE-AS46887 - Crown Castle Fiber LLC, US",no,no,no,1,low
65.254.5.72,Hicksville High School,mail.syosset.k12.ny.us,partial_match,46887,"CROWNCASTLE-AS46887 - Crown Castle Fiber LLC, US",no,no,no,1,low
65.254.5.73,Hicksville High School,exchhub.syosset.k12.ny.us,partial_match,46887,"CROWNCASTLE-AS46887 - Crown Castle Fiber LLC, US",no,no,no,1,low
65.254.5.101,Hicksville High School,ic.syosset.k12.ny.us,partial_match,46887,"CROWNCASTLE-AS46887 - Crown Castle Fiber LLC, US",no,no,no,1,low
192.100.55.179,Hicksville High School,acad179.adelphi.edu,partial_match,NA,NA,no,no,no,1,low
168.100.171.7,Highview School,shsweb.scarsdaleschools.k12.ny.us,partial_match,,,no,yes,yes,3,high
168.100.171.4,Highview School,scarmail.scarsdaleschools.k12.ny.us,partial_match,,,no,yes,yes,3,high
168.100.171.8,Highview School,tech.scarsdaleschools.k12.ny.us,partial_match,,,no,yes,yes,3,high
168.100.171.13,Highview School,scarsdaleny.scarsdaleschools.k12.ny.us,partial_match,,,no,yes,yes,3,high
168.100.171.1,Highview School,gate.scarsdaleschools.k12.ny.us,partial_match,,,no,yes,yes,3,high
168.100.171.17,Highview School,qtss.scarsdaleschools.k12.ny.us,partial_match,,,no,yes,yes,3,high
168.100.171.14,Highview School,ic.scarsdaleschools.k12.ny.us,partial_match,,,no,yes,yes,3,high
168.100.171.11,Highview School,project.scarsdaleschools.k12.ny.us,partial_match,,,no,yes,yes,3,high
168.100.171.43,Highview School,mail-a.scarsdaleschools.k12.ny.us,partial_match,,,no,yes,yes,3,high
168.100.171.47,Highview School,web1.scarsdaleschools.k12.ny.us,partial_match,,,no,yes,yes,3,high
168.100.171.10,Highview School,avg4.scarsdaleschools.k12.ny.us,partial_match,,,no,yes,yes,3,high
168.100.171.2,Highview School,gw.scarsdaleschools.k12.ny.us,partial_match,,,no,yes,yes,3,high
168.100.171.3,Highview School,msfmhome.scarsdaleschools.k12.ny.us,partial_match,,,no,yes,yes,3,high
168.100.171.26,Highview School,shs-4.scarsdaleschools.k12.ny.us,partial_match,,,no,yes,yes,3,high
168.100.171.24,Highview School,www.scarsdaleschools.k12.ny.us,partial_match,,,no,yes,yes,3,high
168.100.171.15,Highview School,so-1.scarsdaleschools.k12.ny.us,partial_match,,,no,yes,yes,3,high
168.100.171.6,Highview School,shs3.scarsdaleschools.k12.ny.us,partial_match,,,no,yes,yes,3,high
168.100.171.38,Highview School,shs-9.scarsdaleschools.k12.ny.us,partial_match,,,no,yes,yes,3,high
168.100.171.33,Highview School,shs-16.scarsdaleschools.k12.ny.us,partial_match,,,no,yes,yes,3,high
168.100.171.30,Highview School,shs-13.scarsdaleschools.k12.ny.us,partial_match,,,no,yes,yes,3,high
168.100.171.31,Highview School,web.scarsdaleschools.k12.ny.us,partial_match,,,no,yes,yes,3,high
168.100.171.28,Highview School,shs-20.scarsdaleschools.k12.ny.us,partial_match,,,no,yes,yes,3,high
168.100.171.100,Highview School,n100.scarsdaleschools.k12.ny.us,partial_match,,,no,yes,yes,3,high
168.100.171.123,Highview School,et-1.gw1.scarsdaleschools.k12.ny.us,partial_match,,,no,yes,yes,3,high
168.100.171.124,Highview School,fa-0-0.gw2.scarsdaleschools.k12.ny.us,partial_match,,,no,yes,yes,3,high
