ip_address,school_name,hostname,phase2_match,asn,whois_org,is_hosting,whois_match,fcc_match,score,confidence,ripe_validated,ripe_validated
163.153.159.104,Flanders Elementary School,104.159.cpcs.k12.ny.us,partial_match,22693,"NERIC - Albany Schoharie Schenectady BOCES, US",no,yes,no,2,medium,yes,yes
163.153.159.106,Flanders Elementary School,106.159.cpcs.k12.ny.us,partial_match,22693,"NERIC - Albany Schoharie Schenectady BOCES, US",no,yes,no,2,medium,yes,yes
163.153.159.102,Flanders Elementary School,102.159.cpcs.k12.ny.us,partial_match,22693,"NERIC - Albany Schoharie Schenectady BOCES, US",no,yes,no,2,medium,yes,yes
163.153.159.103,Flanders Elementary School,103.159.cpcs.k12.ny.us,partial_match,22693,"NERIC - Albany Schoharie Schenectady BOCES, US",no,yes,no,2,medium,yes,yes
163.153.159.107,Flanders Elementary School,107.159.cpcs.k12.ny.us,partial_match,22693,"NERIC - Albany Schoharie Schenectady BOCES, US",no,yes,no,2,medium,yes,yes
163.153.159.149,Flanders Elementary School,149.159.cpcs.k12.ny.us,partial_match,22693,"NERIC - Albany Schoharie Schenectady BOCES, US",no,yes,no,2,medium,yes,yes
163.153.159.115,Flanders Elementary School,115.159.cpcs.k12.ny.us,partial_match,22693,"NERIC - Albany Schoharie Schenectady BOCES, US",no,yes,no,2,medium,yes,yes
163.153.159.112,Flanders Elementary School,112.159.cpcs.k12.ny.us,partial_match,22693,"NERIC - Albany Schoharie Schenectady BOCES, US",no,yes,no,2,medium,yes,yes
163.153.159.110,Flanders Elementary School,110.159.cpcs.k12.ny.us,partial_match,22693,"NERIC - Albany Schoharie Schenectady BOCES, US",no,yes,no,2,medium,yes,yes
163.153.159.108,Flanders Elementary School,108.159.cpcs.k12.ny.us,partial_match,22693,"NERIC - Albany Schoharie Schenectady BOCES, US",no,yes,no,2,medium,yes,yes
163.153.159.111,Flanders Elementary School,111.159.cpcs.k12.ny.us,partial_match,22693,"NERIC - Albany Schoharie Schenectady BOCES, US",no,yes,no,2,medium,yes,yes
163.153.159.109,Flanders Elementary School,109.159.cpcs.k12.ny.us,partial_match,22693,"NERIC - Albany Schoharie Schenectady BOCES, US",no,yes,no,2,medium,yes,yes
163.153.159.119,Flanders Elementary School,119.159.cpcs.k12.ny.us,partial_match,22693,"NERIC - Albany Schoharie Schenectady BOCES, US",no,yes,no,2,medium,yes,yes
163.153.159.116,Flanders Elementary School,116.159.cpcs.k12.ny.us,partial_match,22693,"NERIC - Albany Schoharie Schenectady BOCES, US",no,yes,no,2,medium,yes,yes
163.153.159.117,Flanders Elementary School,117.159.cpcs.k12.ny.us,partial_match,22693,"NERIC - Albany Schoharie Schenectady BOCES, US",no,yes,no,2,medium,yes,yes
163.153.159.113,Flanders Elementary School,113.159.cpcs.k12.ny.us,partial_match,22693,"NERIC - Albany Schoharie Schenectady BOCES, US",no,yes,no,2,medium,yes,yes
163.153.159.114,Flanders Elementary School,114.159.cpcs.k12.ny.us,partial_match,22693,"NERIC - Albany Schoharie Schenectady BOCES, US",no,yes,no,2,medium,yes,yes
163.153.159.118,Flanders Elementary School,118.159.cpcs.k12.ny.us,partial_match,22693,"NERIC - Albany Schoharie Schenectady BOCES, US",no,yes,no,2,medium,yes,yes
163.153.159.121,Flanders Elementary School,121.159.cpcs.k12.ny.us,partial_match,22693,"NERIC - Albany Schoharie Schenectady BOCES, US",no,yes,no,2,medium,yes,yes
163.153.159.120,Flanders Elementary School,120.159.cpcs.k12.ny.us,partial_match,22693,"NERIC - Albany Schoharie Schenectady BOCES, US",no,yes,no,2,medium,yes,yes
163.153.159.123,Flanders Elementary School,123.159.cpcs.k12.ny.us,partial_match,22693,"NERIC - Albany Schoharie Schenectady BOCES, US",no,yes,no,2,medium,yes,yes
163.153.159.163,Flanders Elementary School,163.159.cpcs.k12.ny.us,partial_match,22693,"NERIC - Albany Schoharie Schenectady BOCES, US",no,yes,no,2,medium,yes,yes
163.153.159.124,Flanders Elementary School,124.159.cpcs.k12.ny.us,partial_match,22693,"NERIC - Albany Schoharie Schenectady BOCES, US",no,yes,no,2,medium,yes,yes
163.153.159.125,Flanders Elementary School,125.159.cpcs.k12.ny.us,partial_match,22693,"NERIC - Albany Schoharie Schenectady BOCES, US",no,yes,no,2,medium,yes,yes
163.153.159.128,Flanders Elementary School,128.159.cpcs.k12.ny.us,partial_match,22693,"NERIC - Albany Schoharie Schenectady BOCES, US",no,yes,no,2,medium,yes,yes
163.153.159.130,Flanders Elementary School,130.159.cpcs.k12.ny.us,partial_match,22693,"NERIC - Albany Schoharie Schenectady BOCES, US",no,yes,no,2,medium,yes,yes
163.153.159.170,Flanders Elementary School,170.159.cpcs.k12.ny.us,partial_match,22693,"NERIC - Albany Schoharie Schenectady BOCES, US",no,yes,no,2,medium,yes,yes
163.153.159.127,Flanders Elementary School,127.159.cpcs.k12.ny.us,partial_match,22693,"NERIC - Albany Schoharie Schenectady BOCES, US",no,yes,no,2,medium,yes,yes
163.153.159.129,Flanders Elementary School,129.159.cpcs.k12.ny.us,partial_match,22693,"NERIC - Albany Schoharie Schenectady BOCES, US",no,yes,no,2,medium,yes,yes
163.153.159.132,Flanders Elementary School,132.159.cpcs.k12.ny.us,partial_match,22693,"NERIC - Albany Schoharie Schenectady BOCES, US",no,yes,no,2,medium,yes,yes
