ip_address,school_name,geo_school,district_code,district_type,hostname,phase2_match,asn,whois_org,is_hosting,strong_dns_match,ny_k12_domain,whois_match,fcc_match,score,confidence,distance_km
163.153.159.112,Chateaugay Central School,Malone Middle School,cpcs,public,112.159.cpcs.k12.ny.us,partial_match,22693,Albany Schoharie Schenectady BOCES,no,no,yes,yes,no,2,medium,19.21
163.153.159.110,Chateaugay Central School,Malone Middle School,cpcs,public,110.159.cpcs.k12.ny.us,partial_match,22693,Albany Schoharie Schenectady BOCES,no,no,yes,yes,no,2,medium,19.21
163.153.159.113,Chateaugay Central School,Malone Middle School,cpcs,public,113.159.cpcs.k12.ny.us,partial_match,22693,Albany Schoharie Schenectady BOCES,no,no,yes,yes,no,2,medium,19.21
163.153.159.114,Chateaugay Central School,Malone Middle School,cpcs,public,114.159.cpcs.k12.ny.us,partial_match,22693,Albany Schoharie Schenectady BOCES,no,no,yes,yes,no,2,medium,19.21
163.153.159.115,Chateaugay Central School,Malone Middle School,cpcs,public,115.159.cpcs.k12.ny.us,partial_match,22693,Albany Schoharie Schenectady BOCES,no,no,yes,yes,no,2,medium,19.21
163.153.159.116,Chateaugay Central School,Malone Middle School,cpcs,public,116.159.cpcs.k12.ny.us,partial_match,22693,Albany Schoharie Schenectady BOCES,no,no,yes,yes,no,2,medium,19.21
163.153.159.117,Chateaugay Central School,Malone Middle School,cpcs,public,117.159.cpcs.k12.ny.us,partial_match,22693,Albany Schoharie Schenectady BOCES,no,no,yes,yes,no,2,medium,19.21
163.153.159.119,Chateaugay Central School,Malone Middle School,cpcs,public,119.159.cpcs.k12.ny.us,partial_match,22693,Albany Schoharie Schenectady BOCES,no,no,yes,yes,no,2,medium,19.21
163.153.159.120,Chateaugay Central School,Malone Middle School,cpcs,public,120.159.cpcs.k12.ny.us,partial_match,22693,Albany Schoharie Schenectady BOCES,no,no,yes,yes,no,2,medium,19.21
163.153.159.118,Chateaugay Central School,Malone Middle School,cpcs,public,118.159.cpcs.k12.ny.us,partial_match,22693,Albany Schoharie Schenectady BOCES,no,no,yes,yes,no,2,medium,19.21
163.153.159.121,Chateaugay Central School,Malone Middle School,cpcs,public,121.159.cpcs.k12.ny.us,partial_match,22693,Albany Schoharie Schenectady BOCES,no,no,yes,yes,no,2,medium,19.21
163.153.159.122,Chateaugay Central School,Malone Middle School,cpcs,public,122.159.cpcs.k12.ny.us,partial_match,22693,Albany Schoharie Schenectady BOCES,no,no,yes,yes,no,2,medium,19.21
163.153.159.124,Chateaugay Central School,Malone Middle School,cpcs,public,124.159.cpcs.k12.ny.us,partial_match,22693,Albany Schoharie Schenectady BOCES,no,no,yes,yes,no,2,medium,19.21
163.153.159.123,Chateaugay Central School,Malone Middle School,cpcs,public,123.159.cpcs.k12.ny.us,partial_match,22693,Albany Schoharie Schenectady BOCES,no,no,yes,yes,no,2,medium,19.21
163.153.159.126,Chateaugay Central School,Malone Middle School,cpcs,public,126.159.cpcs.k12.ny.us,partial_match,22693,Albany Schoharie Schenectady BOCES,no,no,yes,yes,no,2,medium,19.21
163.153.159.125,Chateaugay Central School,Malone Middle School,cpcs,public,125.159.cpcs.k12.ny.us,partial_match,22693,Albany Schoharie Schenectady BOCES,no,no,yes,yes,no,2,medium,19.21
