cidr,school_name,reason
50.75.110.8/30,Willow Field Elementary School,no_phase2_match_or_timed_out
2a02:26f7:b389:a4ae::/64,Willow Field Elementary School,no_phase2_match_or_timed_out
75.117.123.166/31,Willow Field Elementary School,no_phase2_match_or_timed_out
184.74.30.228/30,Willow Field Elementary School,no_phase2_match_or_timed_out
69.193.86.128/30,Willow Field Elementary School,no_phase2_match_or_timed_out
72.43.6.240/30,Willow Field Elementary School,no_phase2_match_or_timed_out
2606:54c0:a720::/45,Willow Field Elementary School,no_phase2_match_or_timed_out
24.97.11.208/29,Willow Field Elementary School,no_phase2_match_or_timed_out
24.39.242.68/30,Willow Field Elementary School,no_phase2_match_or_timed_out
24.39.255.92/30,Willow Field Elementary School,no_phase2_match_or_timed_out
208.125.249.48/29,Willow Field Elementary School,no_phase2_match_or_timed_out
2a02:26f7:b381:a4e8::/64,Willow Field Elementary School,no_phase2_match_or_timed_out
24.39.59.4/30,Willow Field Elementary School,no_phase2_match_or_timed_out
24.39.85.232/29,Willow Field Elementary School,no_phase2_match_or_timed_out
2603:7080:7704::/46,Willow Field Elementary School,no_phase2_match_or_timed_out
2604:6000:bfc0:1::/64,Willow Field Elementary School,no_phase2_match_or_timed_out
2a02:26f7:b408:a4ae::/64,Willow Field Elementary School,no_phase2_match_or_timed_out
72.43.210.152/29,Willow Field Elementary School,no_phase2_match_or_timed_out
24.103.139.128/29,Willow Field Elementary School,no_phase2_match_or_timed_out
208.105.242.80/29,Willow Field Elementary School,no_phase2_match_or_timed_out
208.125.208.192/29,Willow Field Elementary School,no_phase2_match_or_timed_out
24.39.50.48/29,Willow Field Elementary School,no_phase2_match_or_timed_out
2603:7080:7700:4000::/50,Willow Field Elementary School,no_phase2_match_or_timed_out
24.39.242.240/30,Willow Field Elementary School,no_phase2_match_or_timed_out
24.58.241.58/32,Willow Field Elementary School,no_phase2_match_or_timed_out
69.193.112.80/29,Willow Field Elementary School,no_phase2_match_or_timed_out
2a02:26f7:b400:a4e8::/64,Willow Field Elementary School,no_phase2_match_or_timed_out
72.45.231.96/30,Willow Field Elementary School,no_phase2_match_or_timed_out
2a02:26f7:f6e9:a4e8::/64,Willow Field Elementary School,no_phase2_match_or_timed_out
24.105.186.124/30,Willow Field Elementary School,no_phase2_match_or_timed_out
72.45.196.96/30,Willow Field Elementary School,no_phase2_match_or_timed_out
50.75.112.128/30,Willow Field Elementary School,no_phase2_match_or_timed_out
208.125.182.232/30,Willow Field Elementary School,no_phase2_match_or_timed_out
24.39.250.20/30,Willow Field Elementary School,no_phase2_match_or_timed_out
108.176.126.16/30,Willow Field Elementary School,no_phase2_match_or_timed_out
24.58.52.161/32,Willow Field Elementary School,no_phase2_match_or_timed_out
2a02:26f7:f6f1:a4e8::/64,Willow Field Elementary School,no_phase2_match_or_timed_out
2a09:bac1:76a1:6d60::/64,Willow Field Elementary School,no_phase2_match_or_timed_out
69.193.108.248/30,Willow Field Elementary School,no_phase2_match_or_timed_out
50.75.112.16/30,Willow Field Elementary School,no_phase2_match_or_timed_out
2a02:26f7:f6e0:a4e8::/64,Willow Field Elementary School,no_phase2_match_or_timed_out
2a02:26f7:f6c0:a4ae::/64,Willow Field Elementary School,no_phase2_match_or_timed_out
75.117.123.176/28,Willow Field Elementary School,no_phase2_match_or_timed_out
50.75.12.116/30,Willow Field Elementary School,no_phase2_match_or_timed_out
24.97.105.52/30,Willow Field Elementary School,no_phase2_match_or_timed_out
2a09:bac1:76c1:6d60::/64,Willow Field Elementary School,no_phase2_match_or_timed_out
2603:7080:7702::/47,Willow Field Elementary School,no_phase2_match_or_timed_out
24.213.191.96/29,Willow Field Elementary School,no_phase2_match_or_timed_out
45.39.218.13/32,Willow Field Elementary School,no_phase2_match_or_timed_out
