school_name,total_ips,high,medium,low,best_score,best_ip,best_hostname
Christian Heritage Academy,0,0,0,0,0,,
Number 8 Elementary School,0,0,0,0,0,,
Intermediate School 27,0,0,0,0,0,,
Public School 45,0,0,0,0,0,,
Frederic W Cook Elementary School,0,0,0,0,0,,
Public School 192,0,0,0,0,0,,
New World Preparatory Charter School,0,0,0,0,0,,
Number 6 Elementary School,0,0,0,0,0,,
Baldwin Middle School,1,1,0,0,2,167.206.234.67,mail.baldwin.k12.ny.us
New World Preparatory Charter School,0,0,0,0,0,,
National Headquarters of Torah Umesorah,0,0,0,0,0,,
Meadow School,0,0,0,0,0,,
Public School 19,0,0,0,0,0,,
Dewitt D Barlow Elementary School,0,0,0,0,0,,
East End Elementary School,0,0,0,0,0,,
Public School 103,0,0,0,0,0,,
Brooklyn College Academy,0,0,0,0,0,,
Our Lady of Good Counsel School,0,0,0,0,0,,
Saint Clement and Saint Michael School,0,0,0,0,0,,
Public School 21,0,0,0,0,0,,
Saint Johns School,0,0,0,0,0,,
Brooklyn Seventh Day Adventist School,0,0,0,0,0,,
Oceanside School Number 8,0,0,0,0,0,,
Public School 44,0,0,0,0,0,,
Lawrence High School,0,0,0,0,0,,
Shackamaxon School,0,0,0,0,0,,
Jewish Community Center of Central New Jersey Preschool,0,0,0,0,0,,
Brooklyn Dreams Charter School,0,0,0,0,0,,
PS 134 Elementary School,0,0,0,0,0,,
P.S. 310,0,0,0,0,0,,
Public School 134,0,0,0,0,0,,
Morgan Stern Elementary School,0,0,0,0,0,,
Yeshivas Sanz,0,0,0,0,0,,
Public School 152,0,0,0,0,0,,
Hebrew Academy of Long Beach Elementary School,0,0,0,0,0,,
Midwood High School,0,0,0,0,0,,
South Oceanside Road School #4,0,0,0,0,0,,
Deerfield Elementary,0,0,0,0,0,,
Public School 315,0,0,0,0,0,,
Safe T Swim,0,0,0,0,0,,
New World Preperatory Charter School,0,0,0,0,0,,
Hebrew Academy,0,0,0,0,0,,
Public School 105,0,0,0,0,0,,
Saint Bernards School,0,0,0,0,0,,
Saint Elizabeths School,0,0,0,0,0,,
Brooklyn Bridge Academy,0,0,0,0,0,,
Victory Collegiate High School,0,0,0,0,0,,
Brooklyn Theatre Arts High School,0,0,0,0,0,,
South Shore High School,0,0,0,0,0,,
Public School 65 - The Academy of Innovative Learning,0,0,0,0,0,,
Brooklyn Generation School,0,0,0,0,0,,
Sacred Heart School,0,0,0,0,0,,
Public School 102,0,0,0,0,0,,
Intermediate School 61,0,0,0,0,0,,
